LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube
"College/University,Non-Kaggle online communities,Textbook",,,Somewhat useful,,,,,,Somewhat useful,,,,,,Somewhat useful,,,
Podcasts,,,,,,,,,,,,,Not Useful,,,,,
"College/University,Kaggle,Online courses,Stack Overflow Q&A",,,Very useful,,,,Very useful,,,,Very useful,,,Very useful,,,,
Online courses,,,,,,,,,,,Very useful,,,,,,,
"Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,,,,,,Very useful,,,,Very useful,Very useful,,Very useful,Somewhat useful,,,
"Blogs,Kaggle,Online courses,Stack Overflow Q&A",,Very useful,,,,,Very useful,,,,Somewhat useful,,,Very useful,,,,
"Blogs,College/University,Friends network,Online courses,Personal Projects,Stack Overflow Q&A",,Very useful,Very useful,,,Very useful,,,,,Very useful,Somewhat useful,,Very useful,,,,
"Online courses,Textbook,Other",,,,,,,,,,,Somewhat useful,,,,Somewhat useful,,,
"College/University,YouTube Videos",,,Very useful,,,,,,,,,,,,,,,Somewhat useful
"College/University,Conferences",,,Somewhat useful,,Somewhat useful,,,,,,,,,,,,,
"Online courses,Stack Overflow Q&A,Trade book,YouTube Videos",,,,,,,,,,,Very useful,,,Somewhat useful,,Very useful,,Somewhat useful
"College/University,Company internal community,Personal Projects,Textbook",,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,
"Arxiv,College/University,Conferences,Official documentation,Personal Projects",Very useful,,Very useful,,Very useful,,,,,Very useful,,Somewhat useful,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Non-Kaggle online communities,Online courses",,,,,,,Very useful,,Somewhat useful,,Very useful,,,,,,,
"Blogs,Kaggle,Newsletters,Online courses,Stack Overflow Q&A",,Very useful,,,,,Somewhat useful,Very useful,,,Somewhat useful,,,Very useful,,,,
"Kaggle,Official documentation,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook",,,,,,,Somewhat useful,,,Very useful,,Very useful,Somewhat useful,Very useful,Somewhat useful,,,
"College/University,Official documentation,Online courses,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos,Other",,,Very useful,,,,,,,Somewhat useful,Somewhat useful,,,Very useful,Very useful,,Very useful,Very useful
"Arxiv,College/University,Conferences,Friends network,Kaggle,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,,Very useful,,Not Useful,Somewhat useful,Somewhat useful,,,,,Very useful,Somewhat useful,Very useful,Very useful,,,Somewhat useful
"Online courses,Personal Projects,Tutoring/mentoring,YouTube Videos",,,,,,,,,,,Very useful,Very useful,,,,,Very useful,Very useful
"Podcasts,Textbook,YouTube Videos",,,,,,,,,,,,,Very useful,,Very useful,,,Somewhat useful
"Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,Very useful,,,,Very useful
"Arxiv,Friends network,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",Somewhat useful,,,,,Somewhat useful,Very useful,,,,Somewhat useful,Very useful,,Somewhat useful,,,,
"Blogs,Kaggle,Online courses,YouTube Videos",,Very useful,,,,,Somewhat useful,,,,Somewhat useful,,,,,,,Very useful
"Arxiv,Blogs,Conferences,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",Very useful,Somewhat useful,,,Somewhat useful,,Somewhat useful,,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,,,,Somewhat useful
"Official documentation,Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,,,,Somewhat useful,Very useful,Very useful,,Very useful,,,,
"Arxiv,College/University,Kaggle,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,,Somewhat useful,,,,Somewhat useful,,,,,Very useful,,Very useful,Not Useful,,,Somewhat useful
"Arxiv,Non-Kaggle online communities,Official documentation,Online courses,Stack Overflow Q&A",Somewhat useful,,,,,,,,Somewhat useful,Somewhat useful,Very useful,,,Very useful,,,,
"Online courses,Personal Projects,Textbook",,,,,,,,,,,Very useful,Very useful,,,Very useful,,,
"College/University,Kaggle,Online courses,Podcasts",,,Very useful,,,,Very useful,,,,Very useful,,Very useful,,,,,
"College/University,Newsletters,Non-Kaggle online communities",,,Very useful,,,,,Very useful,Very useful,,,,,,,,,
"Personal Projects,Stack Overflow Q&A,Trade book",,,,,,,,,,,,Very useful,,Somewhat useful,,Very useful,,
Blogs,,Somewhat useful,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Online courses,Personal Projects,YouTube Videos",,Very useful,,,,,Very useful,,,,Very useful,Very useful,,,,,,Somewhat useful
"Arxiv,Blogs,College/University,Conferences,Friends network,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful,,,,,Very useful,Very useful,Somewhat useful,Very useful,Very useful,,,Somewhat useful
"College/University,Conferences,Kaggle,Stack Overflow Q&A",,,Somewhat useful,,Somewhat useful,,Somewhat useful,,,,,,,Somewhat useful,,,,
"College/University,Conferences,Kaggle,Textbook",,,Very useful,,Somewhat useful,,Somewhat useful,,,,,,,,Very useful,,,
"Arxiv,College/University,Friends network,Official documentation,Online courses,Textbook,YouTube Videos",Somewhat useful,,Very useful,,,Very useful,,,,Very useful,Very useful,,,,Somewhat useful,,,Somewhat useful
"Arxiv,Blogs,College/University,Company internal community,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,Somewhat useful,Somewhat useful,,Somewhat useful,Very useful,,,Very useful,Very useful,Very useful,,Very useful,Very useful,,,Somewhat useful
"Online courses,YouTube Videos",,,,,,,,,,,Very useful,,,,,,,Very useful
"Online courses,YouTube Videos",,,,,,,,,,,Very useful,,,,,,,Very useful
"Blogs,Company internal community,Friends network,Kaggle,Official documentation,Personal Projects",,Somewhat useful,,Very useful,,Very useful,Somewhat useful,,,Somewhat useful,,Very useful,,,,,,
"Other,Other,Other",,,,,,,,,,,,,,,,,,
Personal Projects,,,,,,,,,,,,Somewhat useful,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Friends network,Kaggle,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Very useful,,,,,Very useful,Very useful,,,,,Very useful,,Very useful,Very useful,,Very useful,Very useful
"Blogs,Conferences,Friends network,Kaggle,Official documentation,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,Somewhat useful,Somewhat useful,Somewhat useful,,,Somewhat useful,,Somewhat useful,,Somewhat useful,Somewhat useful,,,Somewhat useful
"Kaggle,Stack Overflow Q&A,Textbook",,,,,,,Very useful,,,,,,,Very useful,Very useful,,,
"Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,YouTube Videos",,,,,,,Very useful,,Very useful,,Very useful,Very useful,,,,,,Very useful
Online courses,,,,,,,,,,,Very useful,,,,,,,
,,,,,,,,,,,,,,,,,,
"Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos,Other",,,,,,,,,,,Very useful,Very useful,Very useful,Very useful,,,,Somewhat useful
"Kaggle,Personal Projects",,,,,,,Very useful,,,,,Somewhat useful,,,,,,
"Arxiv,College/University,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Somewhat useful,,Very useful,,,,,,,,Very useful,Very useful,,Very useful,,,,Very useful
"Arxiv,Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A",Somewhat useful,Very useful,,,,,Somewhat useful,,,Somewhat useful,Somewhat useful,Somewhat useful,,Very useful,,,,
"College/University,Kaggle,Personal Projects,Textbook,YouTube Videos",,,Very useful,,,,Somewhat useful,,,,,Very useful,,,Somewhat useful,,,Somewhat useful
"Blogs,College/University,Friends network,Kaggle,Personal Projects,Podcasts,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,Very useful,Very useful,,,Very useful,Very useful,,,,,Very useful,Very useful,Somewhat useful,,,Somewhat useful,Somewhat useful
"College/University,Online courses,Personal Projects,Textbook",,,Very useful,,,,,,,,Very useful,Very useful,,,Somewhat useful,,,
"Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,Somewhat useful,,,,Somewhat useful
Personal Projects,,,,,,,,,,,,Somewhat useful,,,,,,
Blogs,,Somewhat useful,,,,,,,,,,,,,,,,
"Tutoring/mentoring,YouTube Videos",,,,,,,,,,,,,,,,,Very useful,Very useful
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tutoring/mentoring,,,,,,,,,,,,,,,,,,
Personal Projects,,,,,,,,,,,,Very useful,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Kaggle,Personal Projects",,Very useful,Somewhat useful,,,,Very useful,,,,,Somewhat useful,,,,,,
"Blogs,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,Somewhat useful,,,,,,,,,Very useful,Very useful,,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful
"Blogs,Kaggle,Tutoring/mentoring,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,,,,,,,Somewhat useful,Somewhat useful
"Arxiv,Blogs,Kaggle,Newsletters,Online courses,Stack Overflow Q&A,YouTube Videos",Somewhat useful,Somewhat useful,,,,,Very useful,Somewhat useful,,,Very useful,,,Somewhat useful,,,,Very useful
"College/University,Online courses,YouTube Videos,Other",,,Very useful,,,,,,,,Very useful,,,,,,,Somewhat useful
"Blogs,College/University,Friends network,Official documentation,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,Very useful,,,Somewhat useful,,,,Somewhat useful,,Very useful,,Very useful,Somewhat useful,,,Very useful
"Blogs,Company internal community,Conferences,Friends network,Newsletters,Non-Kaggle online communities,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,Somewhat useful,Somewhat useful,Somewhat useful,,Somewhat useful,Very useful,,,Very useful,Not Useful,Somewhat useful,,,,Very useful
Personal Projects,,,,,,,,,,,,Very useful,,,,,,
"Blogs,Kaggle,Newsletters,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,Somewhat useful,,,,,,Somewhat useful,Somewhat useful,,,Very useful
"Blogs,Friends network,Kaggle,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,Very useful,Somewhat useful,,,,,Very useful,,Very useful,,,,Somewhat useful
YouTube Videos,,,,,,,,,,,,,,,,,,Very useful
"College/University,Kaggle,Stack Overflow Q&A,Textbook,YouTube Videos",,,Somewhat useful,,,,Somewhat useful,,,,,,,Very useful,Somewhat useful,,,Somewhat useful
"Arxiv,Blogs,Kaggle,Newsletters,Non-Kaggle online communities,Personal Projects,Podcasts,Textbook,YouTube Videos",Very useful,Very useful,,,,,Somewhat useful,Somewhat useful,Somewhat useful,,,Somewhat useful,Somewhat useful,,Very useful,,,Very useful
"Arxiv,Blogs,College/University,Online courses,Stack Overflow Q&A,YouTube Videos",Somewhat useful,Very useful,Somewhat useful,,,,,,,,Very useful,,,Very useful,,,,Very useful
"Blogs,Conferences,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A",,Somewhat useful,,,Not Useful,Somewhat useful,Somewhat useful,,,Somewhat useful,Very useful,Very useful,,Very useful,,,,
"Blogs,Conferences,Friends network,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,Somewhat useful,,,Not Useful,Somewhat useful,Very useful,,Very useful,,Very useful,Very useful,,Somewhat useful,,,Very useful,Very useful
"Blogs,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos,Other",,Very useful,,,,,Somewhat useful,,,,Very useful,,,Very useful,,,,Somewhat useful
"Conferences,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,Somewhat useful,,,,,,Very useful,,,Very useful,,,,Somewhat useful
"Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,,,,,,,,,,,Very useful,,Somewhat useful,Somewhat useful,,Very useful,Somewhat useful
"Arxiv,Blogs,College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,Somewhat useful,,,,Very useful,,,,Very useful,Very useful,,Very useful,Somewhat useful,,,Somewhat useful
"Blogs,Kaggle,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,Very useful,,,,,,,Very useful,,,,Very useful
"Blogs,Kaggle,Official documentation,Online courses,Textbook",,Very useful,,,,,Very useful,,,Very useful,Very useful,,,,Very useful,,,
"Blogs,Kaggle,Online courses,Personal Projects,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Very useful,Somewhat useful,,,,,,Very useful
"Blogs,Conferences,Kaggle,Non-Kaggle online communities,Online courses",,Very useful,,,Very useful,,Very useful,,Somewhat useful,,Somewhat useful,,,,,,,
"Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,Somewhat useful,,,Somewhat useful,Very useful,Very useful,,Very useful,,,,Very useful
"College/University,Kaggle,Non-Kaggle online communities,Stack Overflow Q&A",,,Very useful,,,,Very useful,,Very useful,,,,,Very useful,,,,
Textbook,,,,,,,,,,,,,,,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
"Friends network,Stack Overflow Q&A,YouTube Videos",,,,,,Somewhat useful,,,,,,,,Very useful,,,,Very useful
"Blogs,College/University,Kaggle,Newsletters,Official documentation,Online courses,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,Somewhat useful,,,,Somewhat useful,Very useful,,Somewhat useful,Very useful,,Very useful,Somewhat useful,Somewhat useful,,,Very useful
"Arxiv,Blogs,College/University,Company internal community,Kaggle,Newsletters,Official documentation,Personal Projects,Stack Overflow Q&A,Textbook",Very useful,Somewhat useful,Somewhat useful,Somewhat useful,,,Very useful,Somewhat useful,,Somewhat useful,,Somewhat useful,,Somewhat useful,Very useful,,,
Kaggle,,,,,,,Very useful,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Textbook,YouTube Videos",,,,,,,,,,,,,,,Very useful,,,Very useful
"Arxiv,College/University,Conferences,YouTube Videos",Somewhat useful,,Somewhat useful,,Somewhat useful,,,,,,,,,,,,,Very useful
"Blogs,College/University,Conferences,Kaggle,Personal Projects,Textbook,Tutoring/mentoring",,Very useful,Somewhat useful,,Very useful,,Very useful,,,,,Somewhat useful,,,Very useful,,Very useful,
"Blogs,College/University,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Textbook,YouTube Videos",,Somewhat useful,Somewhat useful,,,,,,Somewhat useful,Somewhat useful,Very useful,Very useful,,,Very useful,,,Somewhat useful
"Conferences,Kaggle,Online courses,Podcasts,Stack Overflow Q&A,Trade book,YouTube Videos",,,,,Very useful,,Somewhat useful,,,,Very useful,,Very useful,Very useful,,Very useful,,Somewhat useful
"Arxiv,Kaggle,Newsletters,Online courses,Podcasts",Somewhat useful,,,,,,Somewhat useful,Somewhat useful,,,Very useful,,Somewhat useful,,,,,
"Kaggle,Non-Kaggle online communities,Personal Projects",,,,,,,Very useful,,Very useful,,,Very useful,,,,,,
"Blogs,Company internal community,Conferences,Newsletters,Online courses,YouTube Videos",,Very useful,,Very useful,Very useful,,,Very useful,,,Very useful,,,,,,,Very useful
,,,,,,,,,,,,,,,,,,
"College/University,Conferences,Kaggle,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,,Very useful,,Somewhat useful,,Somewhat useful,,,,Very useful,,,Somewhat useful,Somewhat useful,,,Somewhat useful
"Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,,,,,Somewhat useful,Very useful,,Somewhat useful,,,,
"Arxiv,Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",Very useful,Very useful,,,,,Very useful,,,,Somewhat useful,Very useful,,Somewhat useful,,,,
"College/University,Kaggle,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,Not Useful,,,,Very useful,,,,,Very useful,,Very useful,,,,Very useful
"Kaggle,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,Not Useful,Somewhat useful,,,Not Useful,,,,Somewhat useful
"Blogs,Friends network,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,Somewhat useful,Very useful,,,,Very useful,Very useful,,Very useful,Somewhat useful,,,Somewhat useful
"Kaggle,Official documentation,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,Very useful,,,Somewhat useful,,,,Very useful,Very useful,,,Somewhat useful
"Blogs,College/University,Friends network,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,Somewhat useful,,,Very useful,Very useful,,Very useful,Very useful,Somewhat useful,,,Very useful,Somewhat useful,,,Very useful
"College/University,Online courses,Personal Projects,Textbook,Tutoring/mentoring,YouTube Videos",,,Very useful,,,,,,,,,Somewhat useful,,,Somewhat useful,,Very useful,Very useful
"Kaggle,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,,,,Very useful,,,,Somewhat useful
Online courses,,,,,,,,,,,Very useful,,,,,,,
College/University,,,Somewhat useful,,,,,,,,,,,,,,,
"Blogs,Kaggle,Stack Overflow Q&A",,Very useful,,,,,Very useful,,,,,,,Very useful,,,,
,,,,,,,,,,,,,,,,,,
"College/University,Stack Overflow Q&A,Textbook,YouTube Videos",,,Somewhat useful,,,,,,,,,,,Very useful,Very useful,,,Somewhat useful
"Blogs,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Very useful,,Very useful,,Very useful,Very useful,,Very useful,,,,Somewhat useful
"Kaggle,Online courses,Textbook",,,,,,,Somewhat useful,,,,Somewhat useful,,,,Not Useful,,,
"Blogs,Kaggle,Official documentation,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,Very useful,,,,,Very useful,,,Very useful,,Somewhat useful,,Somewhat useful,,,Somewhat useful,Very useful
YouTube Videos,,,,,,,,,,,,,,,,,,Somewhat useful
"Arxiv,Blogs,College/University,Friends network,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Trade book,Tutoring/mentoring,YouTube Videos",Very useful,Very useful,Somewhat useful,,,Somewhat useful,Somewhat useful,,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful
"Kaggle,Stack Overflow Q&A",,,,,,,Very useful,,,,,,,Somewhat useful,,,,
"Arxiv,College/University,Conferences,Official documentation,Online courses,Personal Projects",Very useful,,Very useful,,Very useful,,,,,Very useful,Very useful,Very useful,,,,,,
"Blogs,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,,,,,,,,Somewhat useful,,,,Somewhat useful
"Blogs,College/University,Conferences,Friends network,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,Very useful,Very useful,,Somewhat useful,Somewhat useful,Very useful,,Somewhat useful,,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful,,Somewhat useful,Somewhat useful
"Blogs,Kaggle,Personal Projects,Stack Overflow Q&A",,Somewhat useful,,,,,Somewhat useful,,,,,Very useful,,Very useful,,,,
"Blogs,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,Very useful,,Somewhat useful,,Very useful,Very useful,,Very useful,,,,Very useful
Tutoring/mentoring,,,,,,,,,,,,,,,,,Very useful,
,,,,,,,,,,,,,,,,,,
"College/University,Company internal community,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,,Somewhat useful,Very useful,,,,,,,,Very useful,,Somewhat useful,Somewhat useful,,Very useful,Somewhat useful
"Blogs,Conferences,Friends network,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Podcasts,Textbook,YouTube Videos",,Somewhat useful,,,Somewhat useful,Very useful,Somewhat useful,,Somewhat useful,,Somewhat useful,Very useful,Somewhat useful,,Very useful,,,Somewhat useful
"Arxiv,Blogs,Kaggle,Official documentation,Online courses,Podcasts,Stack Overflow Q&A,YouTube Videos",Somewhat useful,Very useful,,,,,Very useful,,,Somewhat useful,Very useful,,Somewhat useful,Very useful,,,,Very useful
Other,,,,,,,,,,,,,,,,,,
"Kaggle,Official documentation,Online courses,Textbook,YouTube Videos",,,,,,,Very useful,,,Somewhat useful,Somewhat useful,,,,Very useful,,,Somewhat useful
"Kaggle,Online courses,Personal Projects,YouTube Videos",,,,,,,Somewhat useful,,,,Very useful,Very useful,,,,,,Somewhat useful
"Blogs,College/University,Friends network,Personal Projects,Stack Overflow Q&A,Textbook,Other",,Somewhat useful,Somewhat useful,,,Very useful,,,,,,Very useful,,Very useful,Very useful,,,
"Blogs,College/University,Friends network,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,Very useful,Somewhat useful,,,Somewhat useful,Somewhat useful,Not Useful,,Somewhat useful,Very useful,Very useful,,Very useful,Somewhat useful,,Somewhat useful,Somewhat useful
"Tutoring/mentoring,YouTube Videos",,,,,,,,,,,,,,,,,Somewhat useful,Somewhat useful
"Kaggle,YouTube Videos",,,,,,,Very useful,,,,,,,,,,,Very useful
"Arxiv,Blogs,Company internal community,Newsletters,Official documentation,Online courses,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos,Other",Somewhat useful,Very useful,,Somewhat useful,,,,Somewhat useful,,Very useful,Very useful,,Very useful,Very useful,Very useful,,,Very useful
"Arxiv,Online courses",Somewhat useful,,,,,,,,,,Somewhat useful,,,,,,,
"Personal Projects,Stack Overflow Q&A",,,,,,,,,,,,Very useful,,Very useful,,,,
"Blogs,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Very useful,,Very useful,,Very useful,Very useful,,Very useful,,,,Somewhat useful
Kaggle,,,,,,,Very useful,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"College/University,Company internal community,Conferences,Kaggle,Personal Projects,Stack Overflow Q&A",,,Very useful,Very useful,Very useful,,Very useful,,,,,Very useful,,Very useful,,,,
Arxiv,Somewhat useful,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",Very useful,Very useful,,,,,Very useful,,,,Very useful,Very useful,,Very useful,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,,,,Somewhat useful,,,,Somewhat useful
"Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",,Somewhat useful,,,,,Very useful,,,,Very useful,Somewhat useful,,Somewhat useful,,,,
"Arxiv,Blogs,College/University,Kaggle,Stack Overflow Q&A,Textbook",Somewhat useful,Somewhat useful,Somewhat useful,,,,Very useful,,,,,,,Somewhat useful,Very useful,,,
"College/University,Personal Projects,Textbook,Tutoring/mentoring,YouTube Videos",,,Somewhat useful,,,,,,,,,Very useful,,,Very useful,,Very useful,Somewhat useful
"Friends network,YouTube Videos",,,,,,Very useful,,,,,,,,,,,,Very useful
"College/University,Friends network,Kaggle,Newsletters,Online courses,Stack Overflow Q&A,Textbook",,,Somewhat useful,,,Somewhat useful,Somewhat useful,Somewhat useful,,,Somewhat useful,,,Very useful,Somewhat useful,,,
"College/University,Conferences,Kaggle,Newsletters,Textbook",,,Very useful,,Very useful,,Very useful,Somewhat useful,,,,,,,Very useful,,,
"Arxiv,Online courses,YouTube Videos",Very useful,,,,,,,,,,Very useful,,,,,,,Very useful
"Blogs,Online courses,Stack Overflow Q&A,Textbook",,Somewhat useful,,,,,,,,,Very useful,,,Somewhat useful,Very useful,,,
"Online courses,YouTube Videos",,,,,,,,,,,Very useful,,,,,,,Very useful
"Arxiv,Blogs,Conferences,Kaggle,Newsletters,Official documentation,Online courses,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Very useful,Very useful,,,Very useful,,Very useful,Very useful,,Somewhat useful,Somewhat useful,,Very useful,Very useful,Very useful,,Very useful,Very useful
"Blogs,Kaggle,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,Very useful,,,,,,,Very useful,,,,Very useful
Stack Overflow Q&A,,,,,,,,,,,,,,Somewhat useful,,,,
"Newsletters,Official documentation,Online courses,Podcasts,Stack Overflow Q&A,YouTube Videos",,,,,,,,Somewhat useful,,Very useful,Very useful,,Very useful,Somewhat useful,,,,Somewhat useful
"Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,,,,,,Somewhat useful,,Somewhat useful,,Very useful,Very useful,,Somewhat useful,Somewhat useful,,Very useful,Somewhat useful
"Blogs,College/University,Kaggle,Official documentation,Online courses,Personal Projects,Tutoring/mentoring,YouTube Videos",,Very useful,Very useful,,,,,,,,Very useful,Very useful,,,,,Somewhat useful,Somewhat useful
"Kaggle,Stack Overflow Q&A",,,,,,,Very useful,,,,,,,Very useful,,,,
"College/University,Kaggle,Stack Overflow Q&A,Textbook,YouTube Videos",,,Somewhat useful,,,,Somewhat useful,,,,,,,Very useful,Very useful,,,Very useful
YouTube Videos,,,,,,,,,,,,,,,,,,Very useful
"College/University,Stack Overflow Q&A",,,Very useful,,,,,,,,,,,Somewhat useful,,,,
"Arxiv,Blogs,College/University,Conferences,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Somewhat useful,Very useful,Very useful,,Very useful,,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,,Very useful,Somewhat useful,,Very useful,Very useful
"Blogs,College/University,Kaggle,Newsletters,Online courses,Podcasts,Textbook",,Very useful,Very useful,,,,Very useful,Somewhat useful,,,Somewhat useful,,Somewhat useful,,Not Useful,,,
"Kaggle,Online courses,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,,,,,,Somewhat useful,,,,Somewhat useful,,,Somewhat useful,,,Somewhat useful,Somewhat useful
"Kaggle,Online courses,Stack Overflow Q&A",,,,,,,Very useful,,,,Very useful,,,Somewhat useful,,,,
"Kaggle,Personal Projects,YouTube Videos",,,,,,,Very useful,,,,,Very useful,,,,,,Somewhat useful
"College/University,Kaggle,Non-Kaggle online communities,Online courses",,,Very useful,,,,Somewhat useful,,Somewhat useful,,Very useful,,,,,,,
"Kaggle,Newsletters",,,,,,,Somewhat useful,Somewhat useful,,,,,,,,,,
